id,dc_code,start_day,end_day,hl_day,discriminator_type
308,4,2017-11-12,2017-11-18,2017-11-08,hlexpectedday
309,4,2017-11-19,2017-11-25,2017-11-15,hlexpectedday
310,4,2017-11-26,2017-12-02,2017-11-22,hlexpectedday
311,4,2017-12-03,2017-12-09,2017-11-29,hlexpectedday
312,4,2017-12-10,2017-12-16,2017-12-06,hlexpectedday
313,4,2017-12-17,2017-12-23,2017-12-13,hlexpectedday
314,4,2017-12-24,2017-12-30,2017-12-20,hlexpectedday
315,4,2017-12-31,2018-01-06,2017-12-27,hlexpectedday
316,4,2018-01-07,2018-01-13,2018-01-03,hlexpectedday
317,4,2018-01-14,2018-01-20,2018-01-10,hlexpectedday
318,4,2018-01-21,2018-01-27,2018-01-17,hlexpectedday
319,4,2018-01-28,2018-02-03,2018-01-24,hlexpectedday
320,4,2018-02-04,2018-02-10,2018-01-31,hlexpectedday
321,4,2018-02-11,2018-02-17,2018-02-07,hlexpectedday
322,4,2018-02-18,2018-02-24,2018-02-14,hlexpectedday
323,4,2018-02-25,2018-03-03,2018-02-21,hlexpectedday
324,4,2018-03-04,2018-03-10,2018-02-28,hlexpectedday
325,4,2018-03-11,2018-03-17,2018-03-07,hlexpectedday
326,4,2018-03-18,2018-03-24,2018-03-14,hlexpectedday
327,4,2018-03-25,2018-03-31,2018-03-21,hlexpectedday
328,4,2018-04-01,2018-04-07,2018-03-28,hlexpectedday
329,1,2018-04-07,2018-04-13,2018-04-04,hlexpectedday
330,1,2018-04-14,2018-04-20,2018-04-11,hlexpectedday
331,1,2018-04-21,2018-04-27,2018-04-18,hlexpectedday
332,1,2018-04-28,2018-05-04,2018-04-25,hlexpectedday
333,1,2018-05-05,2018-05-11,2018-05-02,hlexpectedday
334,1,2018-05-12,2018-05-18,2018-05-09,hlexpectedday
335,1,2018-05-19,2018-05-25,2018-05-16,hlexpectedday
336,1,2018-05-26,2018-06-01,2018-05-23,hlexpectedday
337,1,2018-06-02,2018-06-08,2018-05-30,hlexpectedday
338,1,2018-06-09,2018-06-15,2018-06-06,hlexpectedday
339,1,2018-06-16,2018-06-22,2018-06-13,hlexpectedday
340,1,2018-06-23,2018-06-29,2018-06-20,hlexpectedday
341,1,2018-06-30,2018-07-06,2018-06-27,hlexpectedday
342,1,2018-07-07,2018-07-13,2018-07-04,hlexpectedday
343,1,2018-07-14,2018-07-20,2018-07-11,hlexpectedday
344,1,2018-07-21,2018-07-27,2018-07-18,hlexpectedday
345,1,2018-07-28,2018-08-03,2018-07-25,hlexpectedday
346,1,2018-08-04,2018-08-10,2018-08-01,hlexpectedday
347,2,2018-04-09,2018-04-15,2018-04-04,hlexpectedday
348,2,2018-04-16,2018-04-22,2018-04-11,hlexpectedday
349,2,2018-04-23,2018-04-29,2018-04-18,hlexpectedday
350,2,2018-04-30,2018-05-06,2018-04-25,hlexpectedday
351,2,2018-05-07,2018-05-13,2018-05-02,hlexpectedday
352,2,2018-05-14,2018-05-20,2018-05-09,hlexpectedday
353,2,2018-05-21,2018-05-27,2018-05-16,hlexpectedday
354,2,2018-05-28,2018-06-03,2018-05-23,hlexpectedday
355,2,2018-06-04,2018-06-10,2018-05-30,hlexpectedday
356,2,2018-06-11,2018-06-17,2018-06-06,hlexpectedday
357,2,2018-06-18,2018-06-24,2018-06-13,hlexpectedday
358,2,2018-06-25,2018-07-01,2018-06-20,hlexpectedday
359,2,2018-07-02,2018-07-08,2018-06-27,hlexpectedday
360,2,2018-07-09,2018-07-15,2018-07-04,hlexpectedday
361,2,2018-07-16,2018-07-22,2018-07-11,hlexpectedday
362,2,2018-07-23,2018-07-29,2018-07-18,hlexpectedday
363,2,2018-07-30,2018-08-05,2018-07-25,hlexpectedday
364,2,2018-08-06,2018-08-12,2018-08-01,hlexpectedday
365,3,2018-04-09,2018-04-15,2018-04-04,hlexpectedday
366,3,2018-04-16,2018-04-22,2018-04-11,hlexpectedday
367,3,2018-04-23,2018-04-29,2018-04-18,hlexpectedday
368,3,2018-04-30,2018-05-06,2018-04-25,hlexpectedday
369,3,2018-05-07,2018-05-13,2018-05-02,hlexpectedday
370,3,2018-05-14,2018-05-20,2018-05-09,hlexpectedday
371,3,2018-05-21,2018-05-27,2018-05-16,hlexpectedday
372,3,2018-05-28,2018-06-03,2018-05-23,hlexpectedday
373,3,2018-06-04,2018-06-10,2018-05-30,hlexpectedday
374,3,2018-06-11,2018-06-17,2018-06-06,hlexpectedday
375,3,2018-06-18,2018-06-24,2018-06-13,hlexpectedday
376,3,2018-06-25,2018-07-01,2018-06-20,hlexpectedday
377,3,2018-07-02,2018-07-08,2018-06-27,hlexpectedday
378,3,2018-07-09,2018-07-15,2018-07-04,hlexpectedday
379,3,2018-07-16,2018-07-22,2018-07-11,hlexpectedday
380,3,2018-07-23,2018-07-29,2018-07-18,hlexpectedday
381,3,2018-07-30,2018-08-05,2018-07-25,hlexpectedday
382,3,2018-08-06,2018-08-12,2018-08-01,hlexpectedday
383,4,2018-04-08,2018-04-14,2018-04-04,hlexpectedday
384,4,2018-04-15,2018-04-21,2018-04-11,hlexpectedday
385,4,2018-04-22,2018-04-28,2018-04-18,hlexpectedday
386,4,2018-04-29,2018-05-05,2018-04-25,hlexpectedday
387,4,2018-05-06,2018-05-12,2018-05-02,hlexpectedday
388,4,2018-05-13,2018-05-19,2018-05-09,hlexpectedday
389,4,2018-05-20,2018-05-26,2018-05-16,hlexpectedday
390,4,2018-05-27,2018-06-02,2018-05-23,hlexpectedday
391,4,2018-06-03,2018-06-09,2018-05-30,hlexpectedday
392,4,2018-06-10,2018-06-16,2018-06-06,hlexpectedday
393,4,2018-06-17,2018-06-23,2018-06-13,hlexpectedday
394,4,2018-06-24,2018-06-30,2018-06-20,hlexpectedday
395,4,2018-07-01,2018-07-07,2018-06-27,hlexpectedday
396,4,2018-07-08,2018-07-14,2018-07-04,hlexpectedday
397,4,2018-07-15,2018-07-21,2018-07-11,hlexpectedday
398,4,2018-07-22,2018-07-28,2018-07-18,hlexpectedday
399,4,2018-07-29,2018-08-04,2018-07-25,hlexpectedday
400,4,2018-08-05,2018-08-11,2018-08-01,hlexpectedday
401,1,2018-08-11,2018-08-17,2018-08-08,hlexpectedday
402,1,2018-08-18,2018-08-24,2018-08-15,hlexpectedday
403,1,2018-08-25,2018-08-31,2018-08-22,hlexpectedday
404,1,2018-09-01,2018-09-07,2018-08-29,hlexpectedday
405,1,2018-09-08,2018-09-14,2018-09-05,hlexpectedday
406,1,2018-09-15,2018-09-21,2018-09-12,hlexpectedday
407,1,2018-09-22,2018-09-28,2018-09-19,hlexpectedday
408,1,2018-09-29,2018-10-05,2018-09-26,hlexpectedday
409,1,2018-10-06,2018-10-12,2018-10-03,hlexpectedday
410,1,2018-10-13,2018-10-19,2018-10-10,hlexpectedday
411,1,2018-10-20,2018-10-26,2018-10-17,hlexpectedday
412,1,2018-10-27,2018-11-02,2018-10-24,hlexpectedday
413,1,2018-11-03,2018-11-09,2018-10-31,hlexpectedday
414,1,2018-11-10,2018-11-16,2018-11-07,hlexpectedday
415,1,2018-11-17,2018-11-23,2018-11-14,hlexpectedday
416,1,2018-11-24,2018-11-30,2018-11-21,hlexpectedday
417,1,2018-12-01,2018-12-07,2018-11-28,hlexpectedday
418,1,2018-12-08,2018-12-14,2018-12-05,hlexpectedday
419,1,2018-12-15,2018-12-21,2018-12-12,hlexpectedday
