id,csv_type_id,creator_id,entity_name,field_name,reference_field_name,disp_name,sort_no,enabled,create_date,update_date,discriminator_type
179,4,,Eccube\\Entity\\Shipping,kana01,,Recipient Name (First / Phonetic),52,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
180,4,,Eccube\\Entity\\Shipping,kana02,,Recipient Name (Last / Phonetic),53,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
181,4,,Eccube\\Entity\\Shipping,company_name,,Recipient Company Name,54,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
182,4,,Eccube\\Entity\\Shipping,postal_code,,Recipient Postal Code,55,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
183,4,,Eccube\\Entity\\Shipping,Pref,id,Recipient Prefecture (ID),56,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
184,4,,Eccube\\Entity\\Shipping,Pref,name,Recipient Prefecture (Name),57,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
185,4,,Eccube\\Entity\\Shipping,addr01,,Recipient Address 1,58,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
186,4,,Eccube\\Entity\\Shipping,addr02,,Recipient Address 2,59,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
187,4,,Eccube\\Entity\\Shipping,phone_number,,Recipient Phone,60,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
188,4,,Eccube\\Entity\\Shipping,Delivery,id,Delivery Company (ID),61,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
189,4,,Eccube\\Entity\\Shipping,shipping_delivery_name,,Delivery Company (Name),62,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
190,4,,Eccube\\Entity\\Shipping,DeliveryTime,id,Delivery Time (ID),63,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
191,4,,Eccube\\Entity\\Shipping,shipping_delivery_time,,Delivery Time (Name),64,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
192,4,,Eccube\\Entity\\Shipping,shipping_delivery_date,,Preferred Delivery Date,65,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
193,4,,Eccube\\Entity\\Shipping,DeliveryFee,id,Shipping Charge ID,66,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
194,4,,Eccube\\Entity\\Shipping,shipping_delivery_fee,,Shipping Charge,67,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
195,4,,Eccube\\Entity\\Shipping,shipping_date,,Shipping Date,68,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
196,4,,Eccube\\Entity\\Shipping,tracking_number,,Tracking No. ,69,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
197,4,,Eccube\\Entity\\Shipping,note,,Delivery Notes,70,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
198,4,,Eccube\\Entity\\Shipping,mail_send_date,,Shipping notice sent on,71,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
199,5,,Eccube\\Entity\\Category,id,,Category ID,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
200,5,,Eccube\\Entity\\Category,sort_no,,Display Priority,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
201,5,,Eccube\\Entity\\Category,name,,Category Name,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
202,5,,Eccube\\Entity\\Category,Parent,id,Parent Category ID,4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
203,5,,Eccube\\Entity\\Category,level,,Level,5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
204,1,,Eccube\\Entity\\ProductClass,TaxRule,tax_rate,Tax Rate,31,0,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
205,6,,Eccube\\Entity\\Order,shop_no,,H1,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
206,6,,Eccube\\Entity\\Order,drawing_no,,H2,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
207,6,,Eccube\\Entity\\Order,product_type,,H3,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
208,6,,Eccube\\Entity\\Order,name1,,H4,4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
209,6,,Eccube\\Entity\\Order,person_incharge_code,,H5,5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
210,6,,Eccube\\Entity\\Shipping,shipping_delivery_date,,H6,6,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
211,6,,Eccube\\Entity\\Order,order_date,,H7,7,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
